text_id,entity_type,precision,recall,f1_score,predicted,ground_truth
1,Equipment,1.0,0.6666666666666666,0.8,2,3
1,Department,0.7142857142857143,1.0,0.8333333333333333,7,5
2,Equipment,0.8,1.0,0.888888888888889,5,4
2,Department,1.0,1.0,1.0,1,1
3,Equipment,0.6,1.0,0.7499999999999999,10,6
3,Department,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
4,Equipment,1.0,0.6666666666666666,0.8,2,3
4,Department,0.0,0.0,0.0,0,7
5,Equipment,0.8888888888888888,1.0,0.9411764705882353,9,8
5,Department,0.0,0.0,0.0,0,5
6,Equipment,1.0,1.0,1.0,3,3
6,Department,0.0,0.0,0.0,0,0
7,Equipment,0.75,0.75,0.75,4,4
7,Department,1.0,1.0,1.0,2,2
8,Equipment,1.0,1.0,1.0,6,6
8,Department,0.8,0.8,0.8000000000000002,5,5
9,Equipment,1.0,1.0,1.0,6,6
9,Department,1.0,1.0,1.0,4,4
10,Equipment,0.8888888888888888,1.0,0.9411764705882353,9,8
10,Department,1.0,1.0,1.0,5,5
11,Equipment,0.9090909090909091,1.0,0.9523809523809523,11,10
11,Department,0.4,0.4,0.4000000000000001,5,5
12,Equipment,1.0,1.0,1.0,9,9
12,Department,0.8,0.8,0.8000000000000002,5,5
